"label","row_centroid","col_centroid","min_row","min_col","max_row","max_col","area","convex_area","major_axis_length","minor_axis_length","orientation","perimeter","circularity","solidity","cloud_fraction_ift","ice_fraction_ift","tc_band_1_reflectance","tc_band_4_reflectance","tc_band_3_reflectance","fc_band_7_reflectance","fc_band_2_reflectance","fc_band_1_reflectance","proc_grayscale_std","tc_band_1_std","boundary_gradient","interior_gradient"
44.0,226.096,98.206,181.0,66.0,272.0,134.0,4428,4479.0,86.934,66.413,0.253,266.451,0.784,1.012,0.0,1.0,0.767,0.811,0.827,0.01,0.734,0.84,0.018,0.019,0.051,0.009
45.0,204.601,233.417,186.0,207.0,222.0,260.0,1234,1278.0,58.492,27.621,1.181,149.882,0.69,1.036,0.0,0.99,0.755,0.797,0.81,0.032,0.729,0.817,0.053,0.049,0.168,0.035
46.0,210.411,195.429,189.0,184.0,230.0,208.0,732,749.0,40.788,23.278,-0.172,109.74,0.764,1.023,0.0,0.993,0.756,0.801,0.814,0.039,0.725,0.819,0.054,0.047,0.236,0.04
47.0,204.65,388.912,201.0,384.0,208.0,394.0,80,80.0,11.886,8.628,1.494,31.071,1.041,1.0,0.0,1.0,0.712,0.751,0.776,0.042,0.685,0.747,0.046,0.043,0.076,0.054
48.0,210.317,46.814,202.0,42.0,219.0,52.0,161,161.0,18.963,10.888,-0.18,47.556,0.895,1.0,0.0,1.0,0.735,0.783,0.801,0.029,0.708,0.796,0.049,0.047,0.136,0.044
49.0,210.344,167.359,204.0,159.0,217.0,177.0,195,195.0,19.888,12.579,-1.235,52.627,0.885,1.0,0.0,1.0,0.768,0.81,0.827,0.042,0.727,0.828,0.039,0.028,0.173,0.035
50.0,218.691,57.887,212.0,53.0,228.0,61.0,97,99.0,17.569,7.434,0.291,40.971,0.726,1.021,0.0,1.0,0.764,0.802,0.826,0.029,0.73,0.821,0.025,0.025,0.069,0.031
51.0,224.057,36.339,214.0,32.0,234.0,42.0,174,174.0,21.991,10.199,0.117,52.385,0.797,1.0,0.0,0.983,0.753,0.798,0.813,0.047,0.717,0.809,0.072,0.063,0.155,0.057
52.0,232.626,371.791,214.0,356.0,252.0,386.0,788,792.0,39.962,25.324,0.543,110.811,0.806,1.005,0.0,0.995,0.742,0.78,0.793,0.022,0.72,0.807,0.037,0.032,0.113,0.019
54.0,230.368,238.091,221.0,231.0,240.0,246.0,231,231.0,18.938,15.762,0.218,55.698,0.936,1.0,0.0,0.996,0.744,0.786,0.802,0.042,0.717,0.809,0.045,0.038,0.159,0.037
55.0,228.845,48.976,224.0,45.0,233.0,54.0,84,84.0,10.766,10.127,0.648,31.899,1.037,1.0,0.0,0.952,0.74,0.784,0.8,0.035,0.697,0.797,0.091,0.075,0.101,0.058
56.0,269.134,222.613,225.0,178.0,314.0,265.0,4027,4269.0,105.893,52.015,0.768,289.22,0.605,1.06,0.0,0.997,0.752,0.794,0.809,0.017,0.725,0.822,0.035,0.033,0.142,0.017
57.0,232.613,327.792,227.0,323.0,238.0,334.0,106,106.0,13.504,10.12,0.736,36.385,1.006,1.0,0.0,0.896,0.677,0.713,0.735,0.039,0.63,0.714,0.126,0.097,0.131,0.07
58.0,239.03,150.092,228.0,143.0,250.0,158.0,271,272.0,22.926,15.399,0.183,63.456,0.846,1.004,0.0,1.0,0.766,0.809,0.827,0.022,0.739,0.836,0.031,0.03,0.09,0.026
