area,min_row,min_col,max_row,max_col,row_centroid,col_centroid,convex_area,label,major_axis_length,minor_axis_length,orientation,perimeter,perimeter_crofton,cloud_fraction,band_7_reflectance,band_2_reflectance,band_1_reflectance
211,194.0,148.0,208.0,163.0,201.0,155.0,221.0,109.0,17.46,15.81,-1.4,54.38,54.24,0.0,0.07,0.93,0.94
400,197.0,111.0,222.0,131.0,210.0,121.0,416.0,110.0,26.71,19.22,0.47,74.77,73.57,0.0,0.08,0.93,0.94
188,199.0,301.0,216.0,317.0,208.0,308.0,206.0,111.0,20.16,12.91,0.82,56.04,55.81,0.0,0.06,0.94,0.94
2258,201.0,224.0,257.0,282.0,229.0,254.0,2376.0,112.0,67.34,43.44,0.83,190.75,183.53,0.01,0.1,0.92,0.93
275,204.0,320.0,224.0,339.0,214.0,329.0,287.0,113.0,25.4,13.92,0.67,64.53,63.86,0.0,0.08,0.94,0.94
106,208.0,136.0,218.0,148.0,212.0,142.0,114.0,114.0,12.97,10.67,1.46,37.56,38.29,0.0,0.1,0.91,0.91
77,208.0,352.0,219.0,360.0,213.0,356.0,81.0,115.0,12.89,7.58,0.53,31.56,32.6,0.0,0.08,0.94,0.94
1163,215.0,155.0,253.0,194.0,233.0,174.0,1210.0,116.0,38.86,38.57,1.57,130.81,126.7,0.0,0.07,0.91,0.92
151,217.0,208.0,229.0,221.0,223.0,215.0,157.0,117.0,14.86,13.03,-1.4,43.56,43.98,0.0,0.07,0.91,0.91
677,218.0,358.0,252.0,385.0,236.0,372.0,714.0,118.0,35.4,24.79,0.47,100.33,97.8,0.04,0.12,0.92,0.93
76,219.0,343.0,228.0,355.0,223.0,349.0,83.0,119.0,13.84,7.36,0.89,34.18,35.28,0.0,0.1,0.94,0.94
119,223.0,306.0,235.0,318.0,230.0,311.0,126.0,122.0,15.44,10.01,0.79,40.38,40.97,0.0,0.12,0.89,0.9
76,227.0,321.0,237.0,330.0,232.0,325.0,84.0,124.0,11.94,8.15,0.64,31.56,32.6,0.0,0.1,0.95,0.95
552,229.0,121.0,254.0,148.0,241.0,135.0,572.0,125.0,30.35,23.44,0.85,87.6,85.73,0.0,0.08,0.9,0.91
109,238.0,217.0,248.0,229.0,243.0,223.0,116.0,126.0,12.97,11.17,1.23,38.14,38.84,0.0,0.08,0.91,0.92
196,246.0,192.0,265.0,205.0,255.0,198.0,210.0,127.0,20.05,12.73,0.24,54.04,53.92,0.0,0.07,0.91,0.92
162,246.0,231.0,261.0,247.0,253.0,238.0,178.0,128.0,18.56,11.64,0.77,50.87,50.91,0.0,0.07,0.93,0.94
348,246.0,333.0,267.0,352.0,256.0,342.0,362.0,129.0,23.28,19.7,0.46,70.63,69.64,0.0,0.08,0.93,0.94
78,249.0,307.0,258.0,316.0,253.0,311.0,83.0,130.0,11.36,8.88,-0.78,31.31,32.37,0.0,0.08,0.95,0.95
374,254.0,11.0,278.0,31.0,265.0,22.0,387.0,132.0,23.85,20.38,0.22,71.6,70.56,0.06,0.15,0.93,0.93
318,254.0,277.0,273.0,296.0,263.0,288.0,330.0,133.0,21.4,19.4,0.84,66.28,65.52,0.0,0.06,0.9,0.91
111,256.0,313.0,269.0,323.0,264.0,318.0,116.0,134.0,14.01,10.42,-0.26,38.38,39.07,0.0,0.06,0.94,0.94
62,260.0,354.0,272.0,359.0,265.0,356.0,66.0,137.0,13.36,6.04,-0.13,30.07,31.58,0.0,0.05,0.94,0.94
102,260.0,368.0,271.0,380.0,265.0,374.0,110.0,138.0,14.84,8.85,0.85,38.38,39.07,0.0,0.06,0.93,0.95
337,264.0,46.0,285.0,63.0,275.0,55.0,351.0,140.0,22.64,19.13,0.15,67.8,66.96,0.06,0.22,0.95,0.95
103,264.0,147.0,275.0,157.0,269.0,151.0,108.0,141.0,12.55,10.64,0.57,36.14,36.95,0.0,0.06,0.91,0.92
66,266.0,137.0,274.0,145.0,270.0,141.0,68.0,142.0,10.65,7.89,0.77,27.9,29.13,0.0,0.09,0.89,0.9
157,266.0,381.0,282.0,393.0,275.0,387.0,164.0,143.0,16.81,12.15,-0.18,46.04,46.33,0.0,0.05,0.92,0.92
70,268.0,303.0,276.0,313.0,272.0,308.0,76.0,145.0,10.79,8.37,-1.52,30.14,31.26,0.0,0.07,0.92,0.93
1576,270.0,249.0,313.0,294.0,291.0,272.0,1646.0,146.0,47.23,42.82,1.0,151.88,146.67,0.0,0.08,0.93,0.94
78,271.0,340.0,283.0,347.0,277.0,344.0,84.0,147.0,12.85,7.9,0.08,32.73,33.71,0.0,0.06,0.92,0.93
