"area","col_centroid","convex_area","label","major_axis_length","max_col","max_row","min_col","min_row","minor_axis_length","orientation","perimeter","row_centroid","circularity","cloud_fraction","b1_reflectance_mean","b7_reflectance_mean","b2_reflectance_mean","b1_reflectance_bdry_mean","b1_bdry_contrast","b2_reflectance_bdry_mean","b2_bdry_contrast","candidate","solidity"
1213,66.95300906842539,1446.0,8,60.08788473143438,93,270,39,229,29.18678430095758,-1.1205521447881095,175.09545442950497,248.3272877164056,0.4971883244182851,1.0,0.8894995,0.4077939,0.88733333,0.8813868806862211,0.008112604806485235,0.8813868806862211,0.005946452806057989,false,0.838865836791148
4690,90.63710021321961,6054.0,9,97.05991824311035,140,229,40,141,79.45865810933611,-1.0064573945424256,425.2741699796952,191.2503198294243,0.3258702362646137,1.0,0.89937395,0.50235415,0.8952756,0.875158952469877,0.0242149961041892,0.875158952469877,0.020116640334078117,false,0.7746944169144367
1620,66.5746913580247,1919.0,10,52.17507127587375,93,78,41,27,43.093456694809355,-0.7631044950694429,204.89444430272832,52.31666666666667,0.4849137658709371,1.0,0.9284478,0.41778556,0.92506844,0.9481601109499174,-0.019712327956600717,0.9481601109499174,-0.023091672896786264,false,0.8441896821261073
362,56.33701657458563,383.0,11,25.320058685566437,69,185,43,166,18.764291106023474,-1.5456767383105312,83.84062043356595,175.88674033149172,0.6471567235215564,1.0,0.8992202,0.46263587,0.893305,0.8679243809077418,0.03129584728744861,0.8679243809077418,0.025380622735294067,false,0.9451697127937336
300,59.723333333333336,315.0,12,24.4940021089179,68,100,52,77,16.099847984772087,0.3909876856958917,71.45584412271572,89.42333333333333,0.738338662918984,1.0,0.9242749,0.46635363,0.9202357,0.9288985392814844,-0.004623617864248031,0.9288985392814844,-0.008662845826741927,false,0.9523809523809523
3077,90.90867728306792,3821.0,13,116.04809220812596,118,394,62,286,37.14280590219732,-0.36484041368024106,361.74725804511405,342.5333116672083,0.29547916587248757,1.0,0.87728196,0.3956906,0.87780404,0.869438907911847,0.00784305591337886,0.869438907911847,0.008365132996966507,false,0.8052865741952369
221,72.67420814479638,228.0,14,21.185047805917307,81,311,64,291,13.695209770288672,-0.4280957609452628,59.94112549695428,301.5022624434389,0.7729516900439715,1.0,0.88283354,0.23602189,0.878078,0.915576855742297,-0.032743315302691256,0.915576855742297,-0.0374988718860958,false,0.9692982456140351
127,75.88188976377953,131.0,15,13.783076834730887,83,322,70,310,11.943244542271552,-1.5281152745580264,43.59188309203678,315.73228346456693,0.839851156581229,1.0,0.88105696,0.29915085,0.88324946,0.9087088420273769,-0.027651877629946475,0.9087088420273769,-0.025459380376528506,false,0.9694656488549618
128,86.578125,130.0,18,13.380958323182943,93,399,80,386,12.775699943280648,-1.149490289830811,43.21320343559642,391.9765625,0.8613643818276151,1.0,0.8711712,0.40634182,0.872121,0.8448839797927906,0.026287196640772614,0.8448839797927906,0.027236996655268464,false,0.9846153846153847
2828,127.93140028288543,4032.0,19,103.92820306044514,170,151,81,74,43.802900084263,-0.8167146000912854,349.1614716074871,114.47984441301273,0.29149871100284214,1.0,0.9196804,0.51069176,0.9190752,0.9327874648752255,-0.013107048291210566,0.9327874648752255,-0.013712273854259882,false,0.7013888888888888
830,126.75180722891567,950.0,20,40.4402539110115,146,33,108,1,29.188583538347498,-0.9809474203433818,137.05382386916236,14.407228915662651,0.5552718310306227,1.0,0.93206245,0.47782606,0.9332816,0.9439728250155437,-0.011910377944468253,0.9439728250155437,-0.010691224540232414,false,0.8736842105263158
140,121.87142857142857,141.0,21,14.866467663071193,127,338,116,323,12.211485745838537,0.03746106260508269,44.384776310850235,330.0857142857143,0.8930377730576403,1.0,0.8720459,0.456079,0.870085,0.8434143222506397,0.028631552345002365,0.8434143222506397,0.026670678741181564,false,0.9929078014184397
